ID,Name,Intelligence,Strength,Speed,Durability,Power,Combat,Full Name,Publisher,Alignment,Gender,Race,Height,Weight,Eye_Color,Hair_Color,Work,Image
273,Galactus,100,100,83,100,100,50,Galan,Marvel Comics,neutral,Male,Cosmic Entity,876 cm,16 tons,Black,Black,"Planet Devourer, Third Force of the Universe - balance between Eternity and Death, Nullifying Abraxas' Influence on the Multiverse, Third Face of the Living Tribunal - representing Equity",https://www.superherodb.com/pictures2/portraits/10/100/862.jpg
274,Gambit,63,10,23,28,55,84,Remy Etienne LeBeau,Marvel Comics,good,Male,Mutant,185 cm,81 kg,Red,Brown,"Jean Grey School for Higher Learning, Salem Center, Westchester County, New York; formerly Utopia, San Francisco Bay, California; Xavier Institute, Salem Center, Westchester County, New York; New Orleans; Paris; Cairo; Illinois",https://www.superherodb.com/pictures2/portraits/10/100/64.jpg
275,Gamora,75,85,42,85,53,100,Gamora Zen Whoberi Ben Titan,Marvel Comics,good,Female,Zen-Whoberian,183 cm,77 kg,Yellow,Black,"Assassin, mercenary, adventurer",https://www.superherodb.com/pictures2/portraits/10/100/65.jpg
276,Garbage Man,null,82,null,null,null,null,Richard Ethan Morse,DC Comics,good,Male,Mutant,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1467.jpg
277,Gary Bell,63,5,8,10,54,10,Gary Bell,SyFy,good,Male,Alpha,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1526.jpg
278,General Zod,94,100,96,100,100,95,Dru-Zod,DC Comics,bad,Male,Kryptonian,0 cm,0 kg,Black,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/837.jpg
279,Genesis,null,68,null,null,null,null,Tyler Dayspring,Marvel Comics,good,Male,null,185 cm,86 kg,Blue,Blond,"Former would-be world conqueror, arms dealer, soldier, freedom fighter",https://www.superherodb.com/pictures2/portraits/10/100/1055.jpg
280,Ghost Rider,50,55,25,100,100,60,Johnny Blaze,Marvel Comics,good,Male,Demon,188 cm,99 kg,Red,No Hair,Former stunt motorcyclist,https://www.superherodb.com/pictures2/portraits/10/100/67.jpg
281,Ghost Rider II,null,70,null,null,null,null,Daniel Ketch,Marvel Comics,good,-,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/68.jpg
282,Giant-Man,null,78,null,null,null,null,Hank Pym,Ant-Man,good,Male,Human,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/858.jpg
283,Giant-Man II,null,null,null,null,null,null,,Marvel Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/343.jpg
284,Giganta,81,89,23,85,32,42,Doris Zuel,DC Comics,bad,Female,null,62.5 meters,630 kg,Green,Red,"Criminal, former Scientist, Professor at Ivy University",https://www.superherodb.com/pictures2/portraits/10/100/1376.jpg
285,Gladiator,50,100,100,100,77,70,Kallark,Marvel Comics,neutral,Male,Strontian,198 cm,268 kg,Blue,Blue,Majestor of the Shi'ar Empire; Former Praetor of the Imperial Guard; possibly former Herald of Galactus,https://www.superherodb.com/pictures2/portraits/10/100/1521.jpg
286,Goblin Queen,75,10,23,28,65,56,Madelyne Jennifer Pryor,Marvel Comics,bad,Female,null,168 cm,50 kg,Green,Red,-,https://www.superherodb.com/pictures2/portraits/10/100/1054.jpg
287,Godzilla,44,100,54,100,100,20,Gojira,,bad,-,Kaiju,108.0 meters,"90,000 tons",-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10590.jpg
288,Gog,50,34,47,72,39,56,,DC Comics,bad,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/693.jpg
289,Goku,56,100,75,90,100,100,Kakarot,Shueisha,good,Male,Saiyan,175 cm,62 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1284.jpg
290,Goliath,null,null,null,null,null,null,Erik Josten,Atlas,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/845.jpg
291,Goliath,null,null,null,null,null,null,Clint Barton,Hawkeye,good,Male,Human,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/847.jpg
292,Goliath,null,null,null,null,null,null,Hank Pym,Ant-Man,good,Male,Human,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/846.jpg
293,Goliath IV,null,null,null,null,null,null,William Barrett Foster,Marvel Comics,good,Male,null,183 cm,90 kg,Brown,Black,"Biochemist, inventor, research scientist, adventurer; (formerly) circus performer, soldier",https://www.superherodb.com/pictures2/portraits/10/100/879.jpg
294,Gorilla Grodd,81,53,33,70,100,65,Grodd,DC Comics,bad,Male,Gorilla,198 cm,270 kg,Yellow,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/694.jpg
295,Granny Goodness,null,96,null,null,null,null,,DC Comics,bad,Female,null,178 cm,115 kg,Blue,White,-,https://www.superherodb.com/pictures2/portraits/10/100/1344.jpg
296,Gravity,50,32,33,40,69,30,Greg Willis,Marvel Comics,good,Male,Human,178 cm,79 kg,Blue,Brown,Student,https://www.superherodb.com/pictures2/portraits/10/100/74.jpg
297,Greedo,38,10,13,15,31,40,Greedo,George Lucas,bad,Male,Rodian,170 cm,0 kg,Purple,-,Bounty Hunter,https://www.superherodb.com/pictures2/portraits/10/100/10468.jpg
298,Green Arrow,81,12,35,28,39,90,Oliver Queen,DC Comics,good,Male,Human,188 cm,88 kg,Green,Blond,Professional Crime-fighter; Multi-Billionaire,https://www.superherodb.com/pictures2/portraits/10/100/696.jpg
299,Green Goblin,100,48,38,60,48,50,Norman Osborn,Marvel Comics,bad,Male,Human,180 cm,83 kg,Blue,Auburn,"Professional criminal, owner and president of Osborn Industries",https://www.superherodb.com/pictures2/portraits/10/100/579.jpg
300,Green Goblin II,75,55,37,50,44,26,Harold Osborn,Marvel Comics,bad,Male,null,178 cm,77 kg,Blue,Auburn,-,https://www.superherodb.com/pictures2/portraits/10/100/25.jpg
301,Green Goblin III,null,null,null,null,null,null,Barton Hamilton,Marvel Comics,good,Male,null,183 cm,88 kg,-,-,Psychiatrist,https://www.superherodb.com/pictures2/portraits/10/100/351.jpg
302,Green Goblin IV,null,null,null,null,null,null,Phillip Benjamin Urich,Marvel Comics,good,Male,null,178 cm,79 kg,Green,Brown,"College student, former vigilante, intern at Daily Bugle",https://www.superherodb.com/pictures2/portraits/10/100/75.jpg
303,Groot,75,85,33,70,100,64,Groot,Marvel Comics,good,Male,Flora Colossus,701 cm,4 tons,Yellow,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10017.jpg
304,Guardian,null,45,null,null,null,null,James Hudson,Marvel Comics,good,Male,Human,0 cm,0 kg,Brown,Black,"Engineer, government agent, adventurer",https://www.superherodb.com/pictures2/portraits/10/100/76.jpg
305,Guy Gardner,38,90,53,64,100,64,Guy Gardner,DC Comics,good,Male,Human-Vuldarian,188 cm,95 kg,Blue,Red,Former High School gym teacher; former bar owner; currently Honor guard of the Green Lantern Corps,https://www.superherodb.com/pictures2/portraits/10/100/700.jpg
306,Hal Jordan,69,90,75,80,100,70,Hal Jordan,DC Comics,good,Male,Human,188 cm,90 kg,Brown,Brown,"Adventurer, Air Force Test Pilot",https://www.superherodb.com/pictures2/portraits/10/100/697.jpg
307,Han Solo,50,10,17,20,43,60,Han Solo,George Lucas,good,Male,Human,183 cm,79 kg,Brown,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/10456.jpg
308,Hancock,63,90,67,100,100,50,John Hancock,Sony Pictures,good,Male,Human,188 cm,0 kg,Brown,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/1109.jpg
309,Harley Quinn,88,12,33,65,55,80,Harley Quinn,DC Comics,bad,Female,Human,170 cm,63 kg,Blue,Blond,Psychiatrist,https://www.superherodb.com/pictures2/portraits/10/100/701.jpg
310,Harry Potter,75,7,21,10,100,50,Harry James Potter,J. K. Rowling,good,Male,Human,0 cm,0 kg,Green,Black,Head of the Department of Magical Law Enforcement[,https://www.superherodb.com/pictures2/portraits/10/100/10878.jpg
311,Havok,63,10,25,60,71,45,Alexander Summers,Marvel Comics,good,Male,Mutant,183 cm,79 kg,Blue,Blond,"Currently Adventurer, formerly Graduate student in geophysics",https://www.superherodb.com/pictures2/portraits/10/100/77.jpg
312,Hawk,38,38,35,95,43,42,Henry Hall,DC Comics,good,Male,null,185 cm,89 kg,Red,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/1382.jpg
313,Hawkeye,56,12,21,10,29,80,Clint Barton,Goliath,good,Male,Human,191 cm,104 kg,Blue,Blond,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/73.jpg
314,Hawkeye II,50,6,8,10,24,50,Katherine Elizabeth Bishop,Marvel Comics,good,Female,Human,165 cm,57 kg,Blue,Black,Student; Adventurer; Fugitive,https://www.superherodb.com/pictures2/portraits/10/100/10043.jpg
315,Hawkgirl,50,28,53,99,96,72,Kendra Saunders,DC Comics,good,Female,null,175 cm,61 kg,Green,Red,"Adventurer, Film School Student, Temp Curator of the Stonechat Museum",https://www.superherodb.com/pictures2/portraits/10/100/703.jpg
316,Hawkman,null,66,null,null,null,null,Carter Hall,DC Comics,good,Male,null,185 cm,88 kg,Blue,Brown,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/839.jpg
317,Hawkwoman,null,96,null,null,null,null,Shayera Hol,DC Comics,good,Female,null,175 cm,54 kg,Green,Red,-,https://www.superherodb.com/pictures2/portraits/10/100/702.jpg
318,Hawkwoman II,null,null,null,null,null,null,Sharon Parker,DC Comics,good,Female,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1129.jpg
319,Hawkwoman III,null,92,null,null,null,null,Shayera Thal,DC Comics,good,Female,null,170 cm,65 kg,Blue,Red,Police Officer,https://www.superherodb.com/pictures2/portraits/10/100/1130.jpg
320,Heat Wave,38,10,17,45,27,30,Mick Rory,DC Comics,bad,Male,Human,180 cm,81 kg,Blue,No Hair,Professional Criminal,https://www.superherodb.com/pictures2/portraits/10/100/705.jpg
321,Hela,63,100,46,100,100,45,,Marvel Comics,bad,Female,Asgardian,213 cm,225 kg,Green,Black,"Asgardian Goddess of Death, former Ruler of Hel and Niffleheim",https://www.superherodb.com/pictures2/portraits/10/100/10835.jpg
322,Hellboy,63,53,21,95,73,75,Anung Un Rama,Dark Horse Comics,good,Male,Demon,259 cm,158 kg,Gold,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/813.jpg
323,Hellcat,63,11,33,45,46,70,Patricia Walker,Marvel Comics,good,Female,Human,173 cm,61 kg,Blue,Red,"Housemaker, model, adventurer, supernatural investigator",https://www.superherodb.com/pictures2/portraits/10/100/79.jpg
324,Hellstorm,null,56,null,null,null,null,Daimon Hellstrom,Marvel Comics,good,Male,null,185 cm,81 kg,Red,Red,"Ruler of Hell, former Demonologist, occult investigator, exorcist and priest",https://www.superherodb.com/pictures2/portraits/10/100/80.jpg
325,Hercules,63,100,46,85,89,100,Heracles,Marvel Comics,good,Male,Demi-God,196 cm,146 kg,Blue,Brown,"Adventurer, Olympian God of Strength and Labor, later Olympian God of Heroes",https://www.superherodb.com/pictures2/portraits/10/100/78.jpg
326,Hiro Nakamura,null,15,null,null,null,null,Hiro Nakamura,NBC - Heroes,good,Male,null,0 cm,0 kg,-,-,Office worker,https://www.superherodb.com/pictures2/portraits/10/100/947.jpg
327,Hit-Girl,56,7,29,20,27,65,Mindy McCready,Icon Comics,good,Female,Human,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1336.jpg
328,Hobgoblin,null,53,null,null,null,null,Roderick Kingsley,Marvel Comics,bad,Male,null,180 cm,83 kg,Blue,Grey,Fashion designer,https://www.superherodb.com/pictures2/portraits/10/100/896.jpg
329,Hollow,null,null,null,null,null,null,Monet St. Croix,Marvel Comics,good,Female,null,170 cm,0 kg,Blue,Red,-,https://www.superherodb.com/pictures2/portraits/10/100/931.jpg
330,Hope Summers,63,10,12,32,93,75,Hope Summers,Marvel Comics,good,Female,null,168 cm,48 kg,Green,Red,-,https://www.superherodb.com/pictures2/portraits/10/100/1351.jpg
331,Howard the Duck,null,44,null,null,null,null,Howard (Last name unrevealed),Marvel Comics,good,Male,null,79 cm,18 kg,Brown,Yellow,"Many and various, including former candidate for the United States presidency but usually unemployed",https://www.superherodb.com/pictures2/portraits/10/100/82.jpg
332,Hulk,88,100,63,100,98,85,Bruce Banner,Marvel Comics,good,Male,Human / Radiation,244 cm,630 kg,Green,Green,"Nuclear physicist, Agent of S.H.I.E.L.D.",https://www.superherodb.com/pictures2/portraits/10/100/83.jpg
333,Human Torch,63,11,63,70,87,42,Johnny Storm,Marvel Comics,good,Male,Human / Radiation,178 cm,77 kg,Blue,Blond,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/362.jpg
334,Huntress,69,10,23,28,34,95,Helena Rosa Bertinelli,Batgirl III,good,Female,null,180 cm,59 kg,Blue,Black,Vigilante; High school English teacher,https://www.superherodb.com/pictures2/portraits/10/100/707.jpg
335,Husk,63,63,35,78,48,64,Paige Elisabeth Guthrie,Marvel Comics,good,Female,Mutant,170 cm,58 kg,Blue,Blond,"Adventurer; formerly student, activist",https://www.superherodb.com/pictures2/portraits/10/100/84.jpg
336,Hybrid,63,63,58,75,100,80,Scott Washington,Marvel Comics,good,Male,Symbiote,175 cm,77 kg,Brown,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/10493.jpg
337,Hydro-Man,38,13,25,80,66,50,Morris Bench,Marvel Comics,bad,Male,null,188 cm,119 kg,Brown,Brown,Professional Criminal; former crewman of cargo ship,https://www.superherodb.com/pictures2/portraits/10/100/1451.jpg
338,Hyperion,88,100,100,95,87,80,Mark Milton,Marvel Comics,good,Male,Eternal,183 cm,207 kg,Blue,Red,"Adventurer; (Formerly) Cartoonist, government agent",https://www.superherodb.com/pictures2/portraits/10/100/1286.jpg
339,Iceman,63,32,53,100,100,64,Bobby Drake,Marvel Comics,good,Male,Mutant,173 cm,65 kg,Brown,Brown,"Adventurer, formerly teacher, accountant, student",https://www.superherodb.com/pictures2/portraits/10/100/816.jpg
340,Impulse,50,10,100,60,74,60,Bartholomew Allen II,Flash IV,good,Male,Human,170 cm,65 kg,Yellow,Auburn,"Adventurer, Student",https://www.superherodb.com/pictures2/portraits/10/100/895.jpg
341,Indiana Jones,69,10,17,30,19,30,Indiana Jones,George Lucas,good,Male,Human,183 cm,79 kg,-,-,Archaeologist,https://www.superherodb.com/pictures2/portraits/10/100/10560.jpg
342,Indigo,75,63,50,50,100,50,Iroque,DC Comics,neutral,Female,Alien,0 cm,0 kg,-,Purple,Leader of the Indigo Tribe,https://www.superherodb.com/pictures2/portraits/10/100/708.jpg
343,Ink,38,28,17,40,73,50,Eric Gitter,Marvel Comics,good,Male,Mutant,180 cm,81 kg,Blue,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/10337.jpg
344,Invisible Woman,88,10,27,85,93,56,Susan Storm Richards,Marvel Comics,good,Female,Human / Radiation,168 cm,54 kg,blue,Blond,"Member of the Fantastic Four, financial manager for Fantastic Four Inc, occasional model and actress",https://www.superherodb.com/pictures2/portraits/10/100/620.jpg
345,Iron Fist,75,55,33,50,95,100,Danny Rand,Marvel Comics,good,Male,Human,180 cm,79 kg,Blue,Blond,"Adventurer; formerly co-owner of Rand-Meachum, Inc., bodyguard, private investigator, research assistant, warrior",https://www.superherodb.com/pictures2/portraits/10/100/1120.jpg
346,Iron Man,100,85,58,85,100,64,Tony Stark,Marvel Comics,good,Male,Human,198 cm,191 kg,Blue,Black,"Inventor, Industrialist; former United States Secretary of Defense",https://www.superherodb.com/pictures2/portraits/10/100/85.jpg
347,Iron Monger,88,63,25,90,57,56,Obadiah Stane,Marvel Comics,bad,Male,null,0 cm,2 tons,Blue,No Hair,CEO Stane International,https://www.superherodb.com/pictures2/portraits/10/100/886.jpg
348,Isis,75,48,75,46,50,56,Adrianna Tomaz,DC Comics,good,Female,null,0 cm,0 kg,-,-,"Adventurer, formerly First Lady of Kahndaq, former slave",https://www.superherodb.com/pictures2/portraits/10/100/1164.jpg
349,Jack Bauer,null,43,null,null,null,null,Kiefer Sutherland,null,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1203.jpg
350,Jack of Hearts,63,55,100,30,77,30,Jonathan Hart,Marvel Comics,good,Male,Human,155 cm,79 kg,Blue / White,Brown,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/86.jpg
351,Jack-Jack,6,34,67,80,100,6,Jack-Jack Parr,Dark Horse Comics,good,Male,Human,71 cm,14 kg,Blue,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/871.jpg
352,James Bond,88,13,17,35,25,90,James Bond,Titan Books,good,Male,Human,183 cm,0 kg,blue,Blond,00 Agent,https://www.superherodb.com/pictures2/portraits/10/100/10404.jpg
353,James T. Kirk,69,11,17,30,30,75,James T. Kirk,Star Trek,good,Male,Human,178 cm,77 kg,Hazel,Brown,Captain,https://www.superherodb.com/pictures2/portraits/10/100/10565.jpg
354,Jar Jar Binks,10,6,33,10,21,15,Jar Jar Binks,George Lucas,good,Male,Gungan,193 cm,0 kg,Yellow,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10563.jpg
355,Jason Bourne,88,12,29,30,26,100,Jason Bourne,null,good,Male,Human,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10477.jpg
356,Jean Grey,94,80,21,20,92,70,Jean Grey,Phoenix,good,Female,Mutant,168 cm,52 kg,Green,Red,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/814.jpg
357,Jean-Luc Picard,75,10,17,30,26,65,Jean-Luc Picard,Star Trek,good,Male,Human,0 cm,0 kg,-,-,Commanding officer USS Enterprise (NCC-1701-E),https://www.superherodb.com/pictures2/portraits/10/100/10567.jpg
358,Jennifer Kale,75,10,35,42,74,72,Jennifer Kale,Marvel Comics,good,Female,null,168 cm,55 kg,Blue,Blond,"Sorceress, student",https://www.superherodb.com/pictures2/portraits/10/100/1321.jpg
359,Jesse Quick,null,42,null,null,null,null,Jesse Chambers,Liberty Belle II,good,Female,Human,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10544.jpg
360,Jessica Cruz,56,90,46,50,100,55,Jessica Cruz,DC Comics,good,Female,Human,0 cm,0 kg,Green,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/10650.jpg
361,Jessica Jones,56,44,50,70,18,55,Jessica Campbell Jones Cage,Power Woman,good,Female,Human,170 cm,56 kg,Brown,Brown,"Special Consultant to ""The Pulse"", a Daily Bugle supplement; formerly private investigator, adventurer, short-time vigilante",https://www.superherodb.com/pictures2/portraits/10/100/10403.jpg
362,Jessica Sanders,null,null,null,null,null,null,,NBC - Heroes,good,Female,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1029.jpg
363,Jigsaw,null,null,null,null,null,null,Billy Russo,Marvel Comics,bad,Male,null,188 cm,113 kg,Blue,Black,Professional mobster,https://www.superherodb.com/pictures2/portraits/10/100/887.jpg
364,Jim Powell,38,38,23,80,23,20,Jim Powell,ABC Studios,good,Male,null,0 cm,0 kg,-,-,Police Sketch Artist,https://www.superherodb.com/pictures2/portraits/10/100/1354.jpg
365,JJ Powell,88,10,8,10,14,10,JJ Powell,ABC Studios,good,Male,null,0 cm,0 kg,-,-,Student,https://www.superherodb.com/pictures2/portraits/10/100/1357.jpg
366,Johann Krauss,null,30,null,null,null,null,Johann Krauss,Dark Horse Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1121.jpg
367,John Constantine,63,10,8,40,54,65,John Constantine,DC Comics,good,Male,Human,183 cm,0 kg,Blue,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/718.jpg
368,John Stewart,56,85,42,64,100,65,John Stewart,DC Comics,good,Male,Human,185 cm,90 kg,Green,Black,Architect,https://www.superherodb.com/pictures2/portraits/10/100/873.jpg
369,John Wraith,75,12,35,28,87,80,John Wraith,Marvel Comics,good,Male,null,183 cm,88 kg,Brown,Black,"Former Spy, Government Operative, Mercenary, Soldier",https://www.superherodb.com/pictures2/portraits/10/100/1314.jpg
370,Joker,100,10,12,60,43,70,Jack Napier,DC Comics,bad,Male,Human,196 cm,86 kg,Green,Green,-,https://www.superherodb.com/pictures2/portraits/10/100/719.jpg
371,Jolt,63,12,27,32,31,42,Helen Takahama,Marvel Comics,good,Female,null,165 cm,49 kg,Blue,Black,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/1323.jpg
372,Jubilee,56,8,22,20,66,90,Jubilation Lee,Marvel Comics,good,Female,Mutant,165 cm,52 kg,Red,Black,"Student, Adventurer",https://www.superherodb.com/pictures2/portraits/10/100/87.jpg
373,Judge Dredd,75,18,38,50,52,95,Joseph Dredd,Rebellion,good,Male,Human,188 cm,0 kg,-,-,Mega-City Judge,https://www.superherodb.com/pictures2/portraits/10/100/1163.jpg
374,Juggernaut,44,100,42,100,85,70,Cain Marko,Marvel Comics,neutral,Male,Human,287 cm,855 kg,Blue,Red,"Adventurer formerly Professional criminal, mercenary, soldier",https://www.superherodb.com/pictures2/portraits/10/100/826.jpg
375,Junkpile,50,38,17,90,81,30,,Marvel Comics,bad,Male,Mutant,0 cm,0 kg,-,-,Mercenary; Former member of S.H.I.E.L.D.,https://www.superherodb.com/pictures2/portraits/10/100/10002.jpg
376,Justice,50,10,33,70,55,30,Vance Astrovik,Marvel Comics,good,Male,Human,178 cm,81 kg,Hazel,Brown,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/88.jpg
377,Jyn Erso,null,null,null,null,null,null,Jyn Erso,George Lucas,good,Female,Human,0 cm,0 kg,Green,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/10562.jpg
378,K-2SO,null,null,null,null,null,null,,George Lucas,good,Male,Android,213 cm,0 kg,White,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/10643.jpg
379,Kang,100,48,58,70,100,70,Nathaniel Richards,Iron Lad,bad,Male,null,191 cm,104 kg,Brown,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/1053.jpg
380,Kathryn Janeway,75,8,21,25,21,50,Kathryn Janeway,Star Trek,good,Female,Human,0 cm,0 kg,-,-,Fleet Commander,https://www.superherodb.com/pictures2/portraits/10/100/10581.jpg
381,Katniss Everdeen,56,8,21,25,24,55,Katniss Everdeen,,good,Female,Human,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10484.jpg
382,Kevin 11,25,7,12,14,100,40,Kevin Ethan Levin,DC Comics,good,Male,Human,0 cm,0 kg,-,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/1408.jpg
383,Kick-Ass,38,10,23,35,22,56,Dave Lizewski,Icon Comics,good,Male,Human,0 cm,0 kg,Blue,Blond,Student,https://www.superherodb.com/pictures2/portraits/10/100/1158.jpg
384,Kid Flash,25,4,92,42,20,30,Wallace Rudolph West,DC Comics,good,Male,Human,0 cm,0 kg,Green,Red,-,https://www.superherodb.com/pictures2/portraits/10/100/722.jpg
385,Kid Flash II,null,47,null,null,null,null,Bartholomew Allen II,Flash IV,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/894.jpg
386,Killer Croc,19,53,35,90,53,60,Waylon Jones,DC Comics,bad,Male,Metahuman,244 cm,356 kg,Red,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/723.jpg
387,Killer Frost,88,10,13,35,59,30,Caitlin Snow,DC Comics,bad,Female,Human,0 cm,0 kg,Blue,Blond,Scientist,https://www.superherodb.com/pictures2/portraits/10/100/10508.jpg
388,Kilowog,81,90,53,42,100,80,,DC Comics,good,Male,Bolovaxian,234 cm,324 kg,Red,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/1428.jpg
389,King Kong,56,100,71,75,47,75,King Kong,,good,Male,Animal,30.5 meters,"9,000 tons",Yellow,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/10591.jpg
390,King Shark,50,88,50,90,86,40,Nanaue,DC Comics,bad,Male,Animal,0 cm,0 kg,Black,No Hair,Professional Criminal,https://www.superherodb.com/pictures2/portraits/10/100/10512.jpg
391,Kingpin,75,18,25,40,13,70,Wilson Grant Fisk,Marvel Comics,bad,Male,Human,201 cm,203 kg,Blue,No Hair,"Criminal organizer and mastermind, president and owner of legitimate businesses",https://www.superherodb.com/pictures2/portraits/10/100/623.jpg
392,Klaw,63,38,33,100,62,60,Ulysses Klaw,Marvel Comics,bad,Male,Human,188 cm,97 kg,Red,No Hair,"Criminal, former Scientist",https://www.superherodb.com/pictures2/portraits/10/100/1539.jpg
393,Kool-Aid Man,25,18,8,10,9,14,,null,good,Male,null,0 cm,0 kg,Black,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/1343.jpg
394,Kraven II,50,34,23,28,43,85,Alyosha Kravinoff,Marvel Comics,bad,Male,Human,191 cm,99 kg,Brown,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/1034.jpg
395,Kraven the Hunter,63,32,35,42,25,85,Sergei Kravinoff,Marvel Comics,bad,Male,Human,183 cm,106 kg,Brown,Black,"Professional game hunter, mercenary",https://www.superherodb.com/pictures2/portraits/10/100/1033.jpg
396,Krypto,9,80,100,90,82,40,Krypto the Superdog,DC Comics,good,Male,Kryptonian,64 cm,18 kg,Blue,White,-,https://www.superherodb.com/pictures2/portraits/10/100/725.jpg
397,Kyle Rayner,69,90,50,60,100,60,Kyle Rayner,DC Comics,good,Male,Human,180 cm,79 kg,Green,Black,"Green Lantern, Adventurer, Artist",https://www.superherodb.com/pictures2/portraits/10/100/1409.jpg
398,Kylo Ren,56,44,33,30,100,70,Ben Solo,George Lucas,bad,Male,Human,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10559.jpg
399,Lady Bullseye,null,63,null,null,null,null,,Marvel Comics,bad,Female,null,0 cm,0 kg,-,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/1170.jpg
400,Lady Deathstrike,63,28,42,85,48,90,Yuriko Oyama,Marvel Comics,bad,Female,Cyborg,175 cm,58 kg,Brown,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/810.jpg
401,Leader,100,10,12,14,59,42,Samuel Sterns,Marvel Comics,bad,Male,null,178 cm,63 kg,Green,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/885.jpg
402,Leech,25,5,12,14,62,14,,Marvel Comics,good,Male,null,0 cm,0 kg,-,-,"Survivor, former student",https://www.superherodb.com/pictures2/portraits/10/100/834.jpg
403,Legion,50,100,42,30,100,75,David Haller,Marvel Comics,good,Male,Mutant,175 cm,59 kg,Green / Blue,Black,"Adventurer, Student",https://www.superherodb.com/pictures2/portraits/10/100/10651.jpg
404,Leonardo,75,16,50,65,59,80,Leonardo,IDW Publishing,good,Male,Mutant,0 cm,0 kg,Blue,No Hair,Ninja,https://www.superherodb.com/pictures2/portraits/10/100/10327.jpg
405,Lex Luthor,100,53,25,65,68,70,Lex Luthor,DC Comics,bad,Male,Human,188 cm,95 kg,Green,No Hair,Owner of LexCorp,https://www.superherodb.com/pictures2/portraits/10/100/727.jpg
406,Light Lass,38,10,35,28,67,42,Ayla Ranzz,DC Comics,good,Female,null,165 cm,54 kg,Blue,Red,-,https://www.superherodb.com/pictures2/portraits/10/100/1178.jpg
407,Lightning Lad,38,10,23,28,60,42,Garth Ranzz,DC Comics,good,Male,null,155 cm,65 kg,Blue,Red,Legionnaire,https://www.superherodb.com/pictures2/portraits/10/100/1177.jpg
